sentence	target_occupation
Jack has a sister and now works as a butcher , writes poetry , slept late last week , and has a pet snake . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , writes poetry , slept late last week , and has a pet snake . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , slept late last week , and has a pet snake . For his job , Jack sells [MASK] .	meat
Jake works as a butcher , writes poetry , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , writes poetry , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , writes poetry , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , sits by the lake , and drives a car . For his job , Jake sells [MASK] .	meat
Jake works as a butcher , writes poetry , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , writes poetry , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , writes poetry , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , sits by the lake , and slept late last week . For his job , Jake sells [MASK] .	meat
Daniel works as a butcher , writes poetry , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , writes poetry , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , writes poetry , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
John works as a butcher , writes poetry , has a pet snake , and drives a car . For his job , John sells [MASK] .	meat
John has a sister and now works as a butcher , writes poetry , has a pet snake , and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher , writes poetry , has a pet snake , and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , has a pet snake , and drives a car . For his job , John sells [MASK] .	meat
Rowan works as a butcher , writes poetry , has a pet snake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , writes poetry , has a pet snake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , writes poetry , has a pet snake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , has a pet snake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Jake works as a butcher , writes poetry , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , writes poetry , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , writes poetry , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , writes poetry , has a pet snake , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake works as a butcher , drives a car , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , drives a car , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , drives a car , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake works as a butcher , drives a car , writes poetry , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , drives a car , writes poetry , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , drives a car , writes poetry , and sits by the lake . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , writes poetry , and sits by the lake . For his job , Jake sells [MASK] .	meat
Daniel works as a butcher , drives a car , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , drives a car , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , drives a car , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , writes poetry , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel works as a butcher , drives a car , slept late last week , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , drives a car , slept late last week , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , drives a car , slept late last week , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , slept late last week , and writes poetry . For his job , Daniel sells [MASK] .	meat
Rowan works as a butcher , drives a car , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , drives a car , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , drives a car , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , slept late last week , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Jake works as a butcher , drives a car , slept late last week , and has a pet snake . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , drives a car , slept late last week , and has a pet snake . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , drives a car , slept late last week , and has a pet snake . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , slept late last week , and has a pet snake . For his job , Jake sells [MASK] .	meat
Sebastian works as a butcher , drives a car , sits by the lake , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister and now works as a butcher , drives a car , sits by the lake , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir and now works as a butcher , drives a car , sits by the lake , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , sits by the lake , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Daniel works as a butcher , drives a car , sits by the lake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , drives a car , sits by the lake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , drives a car , sits by the lake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , sits by the lake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel works as a butcher , drives a car , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , drives a car , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , drives a car , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , sits by the lake , and has a pet snake . For his job , Daniel sells [MASK] .	meat
Jake works as a butcher , drives a car , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , drives a car , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , drives a car , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Daniel works as a butcher , drives a car , has a pet snake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , drives a car , has a pet snake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , drives a car , has a pet snake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , has a pet snake , and slept late last week . For his job , Daniel sells [MASK] .	meat
Jack works as a butcher , drives a car , has a pet snake , and sits by the lake . For his job , Jack sells [MASK] .	meat
Jack has a sister and now works as a butcher , drives a car , has a pet snake , and sits by the lake . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , drives a car , has a pet snake , and sits by the lake . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , drives a car , has a pet snake , and sits by the lake . For his job , Jack sells [MASK] .	meat
Daniel works as a butcher , slept late last week , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , slept late last week , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , slept late last week , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel works as a butcher , slept late last week , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , slept late last week , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , slept late last week , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , writes poetry , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Joe works as a butcher , slept late last week , writes poetry , and has a pet snake . For his job , Joe sells [MASK] .	meat
Joe has a sister and now works as a butcher , slept late last week , writes poetry , and has a pet snake . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir and now works as a butcher , slept late last week , writes poetry , and has a pet snake . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , writes poetry , and has a pet snake . For his job , Joe sells [MASK] .	meat
Jack works as a butcher , slept late last week , drives a car , and writes poetry . For his job , Jack sells [MASK] .	meat
Jack has a sister and now works as a butcher , slept late last week , drives a car , and writes poetry . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , slept late last week , drives a car , and writes poetry . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , drives a car , and writes poetry . For his job , Jack sells [MASK] .	meat
John works as a butcher , slept late last week , drives a car , and sits by the lake . For his job , John sells [MASK] .	meat
John has a sister and now works as a butcher , slept late last week , drives a car , and sits by the lake . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher , slept late last week , drives a car , and sits by the lake . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , drives a car , and sits by the lake . For his job , John sells [MASK] .	meat
Rowan works as a butcher , slept late last week , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , slept late last week , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , slept late last week , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , drives a car , and has a pet snake . For his job , Rowan sells [MASK] .	meat
Daniel works as a butcher , slept late last week , sits by the lake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , slept late last week , sits by the lake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , slept late last week , sits by the lake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , sits by the lake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Joe works as a butcher , slept late last week , sits by the lake , and drives a car . For his job , Joe sells [MASK] .	meat
Joe has a sister and now works as a butcher , slept late last week , sits by the lake , and drives a car . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir and now works as a butcher , slept late last week , sits by the lake , and drives a car . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , sits by the lake , and drives a car . For his job , Joe sells [MASK] .	meat
Sebastian works as a butcher , slept late last week , sits by the lake , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister and now works as a butcher , slept late last week , sits by the lake , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir and now works as a butcher , slept late last week , sits by the lake , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , sits by the lake , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Jake works as a butcher , slept late last week , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , slept late last week , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , slept late last week , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , has a pet snake , and writes poetry . For his job , Jake sells [MASK] .	meat
Sebastian works as a butcher , slept late last week , has a pet snake , and drives a car . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister and now works as a butcher , slept late last week , has a pet snake , and drives a car . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir and now works as a butcher , slept late last week , has a pet snake , and drives a car . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , has a pet snake , and drives a car . For his job , Sebastian sells [MASK] .	meat
Daniel works as a butcher , slept late last week , has a pet snake , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , slept late last week , has a pet snake , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , slept late last week , has a pet snake , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , slept late last week , has a pet snake , and sits by the lake . For his job , Daniel sells [MASK] .	meat
Daniel works as a butcher , sits by the lake , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , sits by the lake , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , sits by the lake , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , writes poetry , and drives a car . For his job , Daniel sells [MASK] .	meat
Jake works as a butcher , sits by the lake , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , sits by the lake , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , sits by the lake , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , writes poetry , and slept late last week . For his job , Jake sells [MASK] .	meat
Jack works as a butcher , sits by the lake , writes poetry , and has a pet snake . For his job , Jack sells [MASK] .	meat
Jack has a sister and now works as a butcher , sits by the lake , writes poetry , and has a pet snake . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , sits by the lake , writes poetry , and has a pet snake . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , writes poetry , and has a pet snake . For his job , Jack sells [MASK] .	meat
Daniel works as a butcher , sits by the lake , drives a car , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , sits by the lake , drives a car , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , sits by the lake , drives a car , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , drives a car , and writes poetry . For his job , Daniel sells [MASK] .	meat
Joe works as a butcher , sits by the lake , drives a car , and slept late last week . For his job , Joe sells [MASK] .	meat
Joe has a sister and now works as a butcher , sits by the lake , drives a car , and slept late last week . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir and now works as a butcher , sits by the lake , drives a car , and slept late last week . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , drives a car , and slept late last week . For his job , Joe sells [MASK] .	meat
Sebastian works as a butcher , sits by the lake , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister and now works as a butcher , sits by the lake , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir and now works as a butcher , sits by the lake , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , drives a car , and has a pet snake . For his job , Sebastian sells [MASK] .	meat
Jake works as a butcher , sits by the lake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , sits by the lake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , sits by the lake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
John works as a butcher , sits by the lake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John has a sister and now works as a butcher , sits by the lake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher , sits by the lake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John works as a butcher , sits by the lake , slept late last week , and has a pet snake . For his job , John sells [MASK] .	meat
John has a sister and now works as a butcher , sits by the lake , slept late last week , and has a pet snake . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher , sits by the lake , slept late last week , and has a pet snake . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , slept late last week , and has a pet snake . For his job , John sells [MASK] .	meat
Daniel works as a butcher , sits by the lake , has a pet snake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister and now works as a butcher , sits by the lake , has a pet snake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir and now works as a butcher , sits by the lake , has a pet snake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Daniel has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , has a pet snake , and writes poetry . For his job , Daniel sells [MASK] .	meat
Jack works as a butcher , sits by the lake , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	meat
Jack has a sister and now works as a butcher , sits by the lake , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , sits by the lake , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , has a pet snake , and drives a car . For his job , Jack sells [MASK] .	meat
Jack works as a butcher , sits by the lake , has a pet snake , and slept late last week . For his job , Jack sells [MASK] .	meat
Jack has a sister and now works as a butcher , sits by the lake , has a pet snake , and slept late last week . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , sits by the lake , has a pet snake , and slept late last week . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , sits by the lake , has a pet snake , and slept late last week . For his job , Jack sells [MASK] .	meat
Sebastian works as a butcher , has a pet snake , writes poetry , and drives a car . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister and now works as a butcher , has a pet snake , writes poetry , and drives a car . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir and now works as a butcher , has a pet snake , writes poetry , and drives a car . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , writes poetry , and drives a car . For his job , Sebastian sells [MASK] .	meat
Jack works as a butcher , has a pet snake , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	meat
Jack has a sister and now works as a butcher , has a pet snake , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir and now works as a butcher , has a pet snake , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	meat
Jack has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , writes poetry , and slept late last week . For his job , Jack sells [MASK] .	meat
Rowan works as a butcher , has a pet snake , writes poetry , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , has a pet snake , writes poetry , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , has a pet snake , writes poetry , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , writes poetry , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Sebastian works as a butcher , has a pet snake , drives a car , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister and now works as a butcher , has a pet snake , drives a car , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir and now works as a butcher , has a pet snake , drives a car , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Sebastian has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , drives a car , and writes poetry . For his job , Sebastian sells [MASK] .	meat
Jake works as a butcher , has a pet snake , drives a car , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , has a pet snake , drives a car , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , has a pet snake , drives a car , and slept late last week . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , drives a car , and slept late last week . For his job , Jake sells [MASK] .	meat
Rowan works as a butcher , has a pet snake , drives a car , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , has a pet snake , drives a car , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , has a pet snake , drives a car , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , drives a car , and sits by the lake . For his job , Rowan sells [MASK] .	meat
Jake works as a butcher , has a pet snake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , has a pet snake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , has a pet snake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , slept late last week , and writes poetry . For his job , Jake sells [MASK] .	meat
John works as a butcher , has a pet snake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John has a sister and now works as a butcher , has a pet snake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir and now works as a butcher , has a pet snake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
John has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , slept late last week , and drives a car . For his job , John sells [MASK] .	meat
Joe works as a butcher , has a pet snake , slept late last week , and sits by the lake . For his job , Joe sells [MASK] .	meat
Joe has a sister and now works as a butcher , has a pet snake , slept late last week , and sits by the lake . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir and now works as a butcher , has a pet snake , slept late last week , and sits by the lake . For his job , Joe sells [MASK] .	meat
Joe has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , slept late last week , and sits by the lake . For his job , Joe sells [MASK] .	meat
Jake works as a butcher , has a pet snake , sits by the lake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister and now works as a butcher , has a pet snake , sits by the lake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir and now works as a butcher , has a pet snake , sits by the lake , and writes poetry . For his job , Jake sells [MASK] .	meat
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , sits by the lake , and writes poetry . For his job , Jake sells [MASK] .	meat
Rowan works as a butcher , has a pet snake , sits by the lake , and drives a car . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , has a pet snake , sits by the lake , and drives a car . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , has a pet snake , sits by the lake , and drives a car . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , sits by the lake , and drives a car . For his job , Rowan sells [MASK] .	meat
Rowan works as a butcher , has a pet snake , sits by the lake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Rowan has a sister and now works as a butcher , has a pet snake , sits by the lake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir and now works as a butcher , has a pet snake , sits by the lake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Rowan has a sister , sang in a choir , fell down on Tuesday and now works as a butcher , has a pet snake , sits by the lake , and slept late last week . For his job , Rowan sells [MASK] .	meat
Jake works as a baker , writes poetry , drives a car , and slept late last week . For his job , Jake sells [MASK] .	bread
Jake has a sister and now works as a baker , writes poetry , drives a car , and slept late last week . For his job , Jake sells [MASK] .	bread
Jake has a sister , sang in a choir and now works as a baker , writes poetry , drives a car , and slept late last week . For his job , Jake sells [MASK] .	bread
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a baker , writes poetry , drives a car , and slept late last week . For his job , Jake sells [MASK] .	bread
Jake works as a baker , writes poetry , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	bread
Jake has a sister and now works as a baker , writes poetry , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	bread
Jake has a sister , sang in a choir and now works as a baker , writes poetry , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	bread
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a baker , writes poetry , drives a car , and sits by the lake . For his job , Jake sells [MASK] .	bread
Jake works as a baker , writes poetry , drives a car , and has a pet snake . For his job , Jake sells [MASK] .	bread
Jake has a sister and now works as a baker , writes poetry , drives a car , and has a pet snake . For his job , Jake sells [MASK] .	bread
Jake has a sister , sang in a choir and now works as a baker , writes poetry , drives a car , and has a pet snake . For his job , Jake sells [MASK] .	bread
Jake has a sister , sang in a choir , fell down on Tuesday and now works as a baker , writes poetry , drives a car , and has a pet snake . For his job , Jake sells [MASK] .	bread
Rowan works as a baker , writes poetry , slept late last week , and drives a car . For his job , Rowan sells [MASK] .	bread
Rowan has a sister and now works as a baker , writes poetry , slept late last week , and drives a car . For his job , Rowan sells [MASK] .	bread
