context	ending	target_occupation	attractor_1	attractor_2	attractor_3
Jake has a sister and now lives in China, Joe lives in Helsinki, Rowan lives in Santiago and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Santiago	Jakarta
Jake has a sister, played basketball and now lives in China, Joe lives in Helsinki, Rowan lives in Santiago and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Santiago	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Helsinki, Rowan lives in Santiago and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Santiago	Jakarta
Sebastian lives in China, Jake lives in Helsinki, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Helsinki	Santiago	Warsaw
Sebastian has a sister and now lives in China, Jake lives in Helsinki, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Helsinki	Santiago	Warsaw
Sebastian has a sister, played basketball and now lives in China, Jake lives in Helsinki, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Helsinki	Santiago	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Helsinki, Daniel lives in Santiago and Rowan lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Helsinki	Santiago	Warsaw
Jack lives in China, Rowan lives in Helsinki, John lives in Paris and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Paris	Santiago
Jack has a sister and now lives in China, Rowan lives in Helsinki, John lives in Paris and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Paris	Santiago
Jack has a sister, played basketball and now lives in China, Rowan lives in Helsinki, John lives in Paris and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Paris	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Helsinki, John lives in Paris and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Paris	Santiago
Jake lives in China, Daniel lives in Helsinki, John lives in Paris and Jack lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris	Jakarta
Jake has a sister and now lives in China, Daniel lives in Helsinki, John lives in Paris and Jack lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris	Jakarta
Jake has a sister, played basketball and now lives in China, Daniel lives in Helsinki, John lives in Paris and Jack lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Helsinki, John lives in Paris and Jack lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Paris	Jakarta
Rowan lives in China, John lives in Helsinki, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Paris	Warsaw
Rowan has a sister and now lives in China, John lives in Helsinki, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Paris	Warsaw
Rowan has a sister, played basketball and now lives in China, John lives in Helsinki, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Paris	Warsaw
Rowan has a sister, played basketball, sang in a choir and now lives in China, John lives in Helsinki, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Beijing	Helsinki	Paris	Warsaw
Jack lives in China, John lives in Helsinki, Daniel lives in Jakarta and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Jakarta	Santiago
Jack has a sister and now lives in China, John lives in Helsinki, Daniel lives in Jakarta and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Jakarta	Santiago
Jack has a sister, played basketball and now lives in China, John lives in Helsinki, Daniel lives in Jakarta and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Jakarta	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in China, John lives in Helsinki, Daniel lives in Jakarta and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Jakarta	Santiago
John lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Paris
John has a sister and now lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Paris
John has a sister, played basketball and now lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Paris
John lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Warsaw
John has a sister and now lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Warsaw
John has a sister, played basketball and now lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Warsaw
John has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Helsinki, Joe lives in Jakarta and Sebastian lives in Warsaw.	The capital of John's country is [MASK].	Beijing	Helsinki	Jakarta	Warsaw
John lives in China, Sebastian lives in Helsinki, Joe lives in Warsaw and Jake lives in Santiago.	The capital of John's country is [MASK].	Beijing	Helsinki	Warsaw	Santiago
John has a sister and now lives in China, Sebastian lives in Helsinki, Joe lives in Warsaw and Jake lives in Santiago.	The capital of John's country is [MASK].	Beijing	Helsinki	Warsaw	Santiago
John has a sister, played basketball and now lives in China, Sebastian lives in Helsinki, Joe lives in Warsaw and Jake lives in Santiago.	The capital of John's country is [MASK].	Beijing	Helsinki	Warsaw	Santiago
John has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Helsinki, Joe lives in Warsaw and Jake lives in Santiago.	The capital of John's country is [MASK].	Beijing	Helsinki	Warsaw	Santiago
Jack lives in China, Jake lives in Helsinki, Joe lives in Warsaw and John lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Warsaw	Paris
Jack has a sister and now lives in China, Jake lives in Helsinki, Joe lives in Warsaw and John lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Warsaw	Paris
Jack has a sister, played basketball and now lives in China, Jake lives in Helsinki, Joe lives in Warsaw and John lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Warsaw	Paris
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Helsinki, Joe lives in Warsaw and John lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Helsinki	Warsaw	Paris
Jake lives in China, Rowan lives in Helsinki, Jack lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Warsaw	Jakarta
Jake has a sister and now lives in China, Rowan lives in Helsinki, Jack lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Warsaw	Jakarta
Jake has a sister, played basketball and now lives in China, Rowan lives in Helsinki, Jack lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Warsaw	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Helsinki, Jack lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Helsinki	Warsaw	Jakarta
Rowan lives in China, Jack lives in Paris, Jake lives in Santiago and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago	Helsinki
Rowan has a sister and now lives in China, Jack lives in Paris, Jake lives in Santiago and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago	Helsinki
Rowan has a sister, played basketball and now lives in China, Jack lives in Paris, Jake lives in Santiago and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago	Helsinki
Rowan has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Paris, Jake lives in Santiago and Sebastian lives in Helsinki.	The capital of Rowan's country is [MASK].	Beijing	Paris	Santiago	Helsinki
Jake lives in China, Daniel lives in Paris, John lives in Santiago and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Santiago	Jakarta
Jake has a sister and now lives in China, Daniel lives in Paris, John lives in Santiago and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Santiago	Jakarta
Jake has a sister, played basketball and now lives in China, Daniel lives in Paris, John lives in Santiago and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Santiago	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Paris, John lives in Santiago and Rowan lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Santiago	Jakarta
Daniel lives in China, Jake lives in Paris, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Santiago	Warsaw
Daniel has a sister and now lives in China, Jake lives in Paris, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Santiago	Warsaw
Daniel has a sister, played basketball and now lives in China, Jake lives in Paris, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Santiago	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Paris, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Santiago	Warsaw
Daniel lives in China, Rowan lives in Paris, Sebastian lives in Helsinki and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Santiago
Daniel has a sister and now lives in China, Rowan lives in Paris, Sebastian lives in Helsinki and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Santiago
Daniel has a sister, played basketball and now lives in China, Rowan lives in Paris, Sebastian lives in Helsinki and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Santiago
Daniel has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Paris, Sebastian lives in Helsinki and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Santiago
Joe lives in China, Rowan lives in Paris, Daniel lives in Helsinki and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Helsinki	Jakarta
Joe has a sister and now lives in China, Rowan lives in Paris, Daniel lives in Helsinki and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Helsinki	Jakarta
Joe has a sister, played basketball and now lives in China, Rowan lives in Paris, Daniel lives in Helsinki and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Helsinki	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Paris, Daniel lives in Helsinki and Sebastian lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Paris	Helsinki	Jakarta
Daniel lives in China, Rowan lives in Paris, John lives in Helsinki and Sebastian lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Warsaw
Daniel has a sister and now lives in China, Rowan lives in Paris, John lives in Helsinki and Sebastian lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Warsaw
Daniel has a sister, played basketball and now lives in China, Rowan lives in Paris, John lives in Helsinki and Sebastian lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Paris, John lives in Helsinki and Sebastian lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Paris	Helsinki	Warsaw
Joe lives in China, Jack lives in Paris, Rowan lives in Jakarta and John lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Santiago
Joe has a sister and now lives in China, Jack lives in Paris, Rowan lives in Jakarta and John lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Santiago
Joe has a sister, played basketball and now lives in China, Jack lives in Paris, Rowan lives in Jakarta and John lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Santiago
Joe has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Paris, Rowan lives in Jakarta and John lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Santiago
Joe lives in China, Jake lives in Paris, Sebastian lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Helsinki
Joe has a sister and now lives in China, Jake lives in Paris, Sebastian lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Helsinki
Joe has a sister, played basketball and now lives in China, Jake lives in Paris, Sebastian lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Paris, Sebastian lives in Jakarta and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Paris	Jakarta	Helsinki
Sebastian lives in China, Rowan lives in Paris, Jake lives in Jakarta and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Paris	Jakarta	Warsaw
Sebastian has a sister and now lives in China, Rowan lives in Paris, Jake lives in Jakarta and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Paris	Jakarta	Warsaw
Sebastian has a sister, played basketball and now lives in China, Rowan lives in Paris, Jake lives in Jakarta and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Paris	Jakarta	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Paris, Jake lives in Jakarta and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Paris	Jakarta	Warsaw
Jack lives in China, Jake lives in Paris, Joe lives in Warsaw and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Paris	Warsaw	Santiago
Jack has a sister and now lives in China, Jake lives in Paris, Joe lives in Warsaw and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Paris	Warsaw	Santiago
Jack has a sister, played basketball and now lives in China, Jake lives in Paris, Joe lives in Warsaw and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Paris	Warsaw	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Paris, Joe lives in Warsaw and Sebastian lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Paris	Warsaw	Santiago
John lives in China, Joe lives in Paris, Jake lives in Warsaw and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Paris	Warsaw	Helsinki
John has a sister and now lives in China, Joe lives in Paris, Jake lives in Warsaw and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Paris	Warsaw	Helsinki
John has a sister, played basketball and now lives in China, Joe lives in Paris, Jake lives in Warsaw and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Paris	Warsaw	Helsinki
John has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Paris, Jake lives in Warsaw and Sebastian lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Paris	Warsaw	Helsinki
Jake lives in China, Jack lives in Paris, Rowan lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Warsaw	Jakarta
Jake has a sister and now lives in China, Jack lives in Paris, Rowan lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Warsaw	Jakarta
Jake has a sister, played basketball and now lives in China, Jack lives in Paris, Rowan lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Warsaw	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Paris, Rowan lives in Warsaw and Joe lives in Jakarta.	The capital of Jake's country is [MASK].	Beijing	Paris	Warsaw	Jakarta
Daniel lives in China, John lives in Jakarta, Sebastian lives in Santiago and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki
Daniel has a sister and now lives in China, John lives in Jakarta, Sebastian lives in Santiago and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki
Daniel has a sister, played basketball and now lives in China, John lives in Jakarta, Sebastian lives in Santiago and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Sebastian lives in Santiago and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki
Jack lives in China, John lives in Jakarta, Joe lives in Santiago and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago	Paris
Jack has a sister and now lives in China, John lives in Jakarta, Joe lives in Santiago and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago	Paris
Jack has a sister, played basketball and now lives in China, John lives in Jakarta, Joe lives in Santiago and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago	Paris
Jack has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Joe lives in Santiago and Daniel lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Santiago	Paris
Joe lives in China, Daniel lives in Jakarta, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw
Joe has a sister and now lives in China, Daniel lives in Jakarta, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw
Joe has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Sebastian lives in Santiago and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw
Daniel lives in China, Rowan lives in Jakarta, Jack lives in Helsinki and John lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago
Daniel has a sister and now lives in China, Rowan lives in Jakarta, Jack lives in Helsinki and John lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago
Daniel has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Jack lives in Helsinki and John lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago
Daniel has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Jack lives in Helsinki and John lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago
John lives in China, Daniel lives in Jakarta, Jake lives in Helsinki and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Helsinki	Paris
John has a sister and now lives in China, Daniel lives in Jakarta, Jake lives in Helsinki and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Helsinki	Paris
John has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Jake lives in Helsinki and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Helsinki	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Jake lives in Helsinki and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Helsinki	Paris
Daniel lives in China, Sebastian lives in Jakarta, Joe lives in Helsinki and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw
Daniel has a sister and now lives in China, Sebastian lives in Jakarta, Joe lives in Helsinki and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw
Daniel has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Joe lives in Helsinki and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Joe lives in Helsinki and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw
Sebastian lives in China, Rowan lives in Jakarta, Joe lives in Paris and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago
Sebastian has a sister and now lives in China, Rowan lives in Jakarta, Joe lives in Paris and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago
Sebastian has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Joe lives in Paris and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Joe lives in Paris and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago
Jack lives in China, Jake lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki
Jack has a sister and now lives in China, Jake lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki
Jack has a sister, played basketball and now lives in China, Jake lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki
Joe lives in China, John lives in Jakarta, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Paris	Warsaw
Joe has a sister and now lives in China, John lives in Jakarta, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Paris	Warsaw
Joe has a sister, played basketball and now lives in China, John lives in Jakarta, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Paris	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Paris	Warsaw
Rowan lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago
Rowan has a sister and now lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago
Rowan has a sister, played basketball and now lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago
Rowan has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago
Joe lives in China, Daniel lives in Jakarta, Jack lives in Warsaw and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki
Joe has a sister and now lives in China, Daniel lives in Jakarta, Jack lives in Warsaw and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki
Joe has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Jack lives in Warsaw and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Jack lives in Warsaw and Jake lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki
John lives in China, Joe lives in Jakarta, Rowan lives in Warsaw and Daniel lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris
John has a sister and now lives in China, Joe lives in Jakarta, Rowan lives in Warsaw and Daniel lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris
John has a sister, played basketball and now lives in China, Joe lives in Jakarta, Rowan lives in Warsaw and Daniel lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Jakarta, Rowan lives in Warsaw and Daniel lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris
Jake lives in China, Joe lives in Warsaw, Daniel lives in Santiago and Sebastian lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki
Jake has a sister and now lives in China, Joe lives in Warsaw, Daniel lives in Santiago and Sebastian lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki
Jake has a sister, played basketball and now lives in China, Joe lives in Warsaw, Daniel lives in Santiago and Sebastian lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki
Jake has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Warsaw, Daniel lives in Santiago and Sebastian lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki
Rowan lives in China, Jack lives in Warsaw, Daniel lives in Santiago and John lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris
Rowan has a sister and now lives in China, Jack lives in Warsaw, Daniel lives in Santiago and John lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris
Rowan has a sister, played basketball and now lives in China, Jack lives in Warsaw, Daniel lives in Santiago and John lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Warsaw, Daniel lives in Santiago and John lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris
Jack lives in China, Rowan lives in Warsaw, Jake lives in Santiago and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta
Jack has a sister and now lives in China, Rowan lives in Warsaw, Jake lives in Santiago and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta
Jack has a sister, played basketball and now lives in China, Rowan lives in Warsaw, Jake lives in Santiago and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta
Jack has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Warsaw, Jake lives in Santiago and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta
Rowan lives in China, Jake lives in Warsaw, Joe lives in Helsinki and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago
Rowan has a sister and now lives in China, Jake lives in Warsaw, Joe lives in Helsinki and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago
Rowan has a sister, played basketball and now lives in China, Jake lives in Warsaw, Joe lives in Helsinki and John lives in Santiago.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago
