context	ending	target_occupation	attractor_1	attractor_2	attractor_3	attractor_4	attractor_5
Sebastian has a sister and now lives in China, Jake lives in Jakarta, Daniel lives in Santiago, Rowan lives in Warsaw, John lives in Helsinki and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki	Paris
Sebastian has a sister, played basketball and now lives in China, Jake lives in Jakarta, Daniel lives in Santiago, Rowan lives in Warsaw, John lives in Helsinki and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki	Paris
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, Daniel lives in Santiago, Rowan lives in Warsaw, John lives in Helsinki and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki	Paris
John lives in China, Sebastian lives in Jakarta, Daniel lives in Santiago, Joe lives in Warsaw, Jake lives in Paris and Jack lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris	Helsinki
John has a sister and now lives in China, Sebastian lives in Jakarta, Daniel lives in Santiago, Joe lives in Warsaw, Jake lives in Paris and Jack lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris	Helsinki
John has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Daniel lives in Santiago, Joe lives in Warsaw, Jake lives in Paris and Jack lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris	Helsinki
John has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Daniel lives in Santiago, Joe lives in Warsaw, Jake lives in Paris and Jack lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris	Helsinki
Joe lives in China, Jake lives in Jakarta, Rowan lives in Helsinki, Jack lives in Santiago, Sebastian lives in Paris and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris	Warsaw
Joe has a sister and now lives in China, Jake lives in Jakarta, Rowan lives in Helsinki, Jack lives in Santiago, Sebastian lives in Paris and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris	Warsaw
Joe has a sister, played basketball and now lives in China, Jake lives in Jakarta, Rowan lives in Helsinki, Jack lives in Santiago, Sebastian lives in Paris and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, Rowan lives in Helsinki, Jack lives in Santiago, Sebastian lives in Paris and John lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris	Warsaw
Sebastian lives in China, Joe lives in Jakarta, Jack lives in Helsinki, Jake lives in Santiago, Daniel lives in Warsaw and John lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw	Paris
Sebastian has a sister and now lives in China, Joe lives in Jakarta, Jack lives in Helsinki, Jake lives in Santiago, Daniel lives in Warsaw and John lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw	Paris
Sebastian has a sister, played basketball and now lives in China, Joe lives in Jakarta, Jack lives in Helsinki, Jake lives in Santiago, Daniel lives in Warsaw and John lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw	Paris
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Jakarta, Jack lives in Helsinki, Jake lives in Santiago, Daniel lives in Warsaw and John lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw	Paris
Sebastian lives in China, Daniel lives in Jakarta, Joe lives in Helsinki, Rowan lives in Paris, Jake lives in Santiago and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago	Warsaw
Sebastian has a sister and now lives in China, Daniel lives in Jakarta, Joe lives in Helsinki, Rowan lives in Paris, Jake lives in Santiago and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago	Warsaw
Sebastian has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Joe lives in Helsinki, Rowan lives in Paris, Jake lives in Santiago and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Joe lives in Helsinki, Rowan lives in Paris, Jake lives in Santiago and John lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago	Warsaw
Jack lives in China, Jake lives in Jakarta, Sebastian lives in Helsinki, John lives in Paris, Joe lives in Warsaw and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw	Santiago
Jack has a sister and now lives in China, Jake lives in Jakarta, Sebastian lives in Helsinki, John lives in Paris, Joe lives in Warsaw and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw	Santiago
Jack has a sister, played basketball and now lives in China, Jake lives in Jakarta, Sebastian lives in Helsinki, John lives in Paris, Joe lives in Warsaw and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, Sebastian lives in Helsinki, John lives in Paris, Joe lives in Warsaw and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw	Santiago
Daniel lives in China, John lives in Jakarta, Joe lives in Helsinki, Jake lives in Warsaw, Sebastian lives in Santiago and Jack lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago	Paris
Daniel has a sister and now lives in China, John lives in Jakarta, Joe lives in Helsinki, Jake lives in Warsaw, Sebastian lives in Santiago and Jack lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago	Paris
Daniel has a sister, played basketball and now lives in China, John lives in Jakarta, Joe lives in Helsinki, Jake lives in Warsaw, Sebastian lives in Santiago and Jack lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Joe lives in Helsinki, Jake lives in Warsaw, Sebastian lives in Santiago and Jack lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago	Paris
Daniel lives in China, Sebastian lives in Jakarta, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris	Santiago
Daniel has a sister and now lives in China, Sebastian lives in Jakarta, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris	Santiago
Daniel has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris	Santiago
Daniel has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Jack lives in Helsinki, John lives in Warsaw, Jake lives in Paris and Rowan lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris	Santiago
Sebastian lives in China, John lives in Jakarta, Joe lives in Paris, Jack lives in Santiago, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki	Warsaw
Sebastian has a sister and now lives in China, John lives in Jakarta, Joe lives in Paris, Jack lives in Santiago, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki	Warsaw
Sebastian has a sister, played basketball and now lives in China, John lives in Jakarta, Joe lives in Paris, Jack lives in Santiago, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Joe lives in Paris, Jack lives in Santiago, Daniel lives in Helsinki and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki	Warsaw
Daniel lives in China, Jake lives in Jakarta, Rowan lives in Paris, Joe lives in Santiago, John lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw	Helsinki
Daniel has a sister and now lives in China, Jake lives in Jakarta, Rowan lives in Paris, Joe lives in Santiago, John lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw	Helsinki
Daniel has a sister, played basketball and now lives in China, Jake lives in Jakarta, Rowan lives in Paris, Joe lives in Santiago, John lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, Rowan lives in Paris, Joe lives in Santiago, John lives in Warsaw and Jack lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw	Helsinki
Sebastian lives in China, John lives in Jakarta, Jake lives in Paris, Joe lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago	Warsaw
Sebastian has a sister and now lives in China, John lives in Jakarta, Jake lives in Paris, Joe lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago	Warsaw
Sebastian has a sister, played basketball and now lives in China, John lives in Jakarta, Jake lives in Paris, Joe lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Jake lives in Paris, Joe lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago	Warsaw
Daniel lives in China, John lives in Jakarta, Rowan lives in Paris, Sebastian lives in Helsinki, Jack lives in Warsaw and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw	Santiago
Daniel has a sister and now lives in China, John lives in Jakarta, Rowan lives in Paris, Sebastian lives in Helsinki, Jack lives in Warsaw and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw	Santiago
Daniel has a sister, played basketball and now lives in China, John lives in Jakarta, Rowan lives in Paris, Sebastian lives in Helsinki, Jack lives in Warsaw and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw	Santiago
Daniel has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Rowan lives in Paris, Sebastian lives in Helsinki, Jack lives in Warsaw and Jake lives in Santiago.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw	Santiago
Jack lives in China, John lives in Jakarta, Joe lives in Paris, Rowan lives in Warsaw, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago	Helsinki
Jack has a sister and now lives in China, John lives in Jakarta, Joe lives in Paris, Rowan lives in Warsaw, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago	Helsinki
Jack has a sister, played basketball and now lives in China, John lives in Jakarta, Joe lives in Paris, Rowan lives in Warsaw, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Joe lives in Paris, Rowan lives in Warsaw, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago	Helsinki
Sebastian lives in China, John lives in Jakarta, Daniel lives in Paris, Joe lives in Warsaw, Rowan lives in Helsinki and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki	Santiago
Sebastian has a sister and now lives in China, John lives in Jakarta, Daniel lives in Paris, Joe lives in Warsaw, Rowan lives in Helsinki and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki	Santiago
Sebastian has a sister, played basketball and now lives in China, John lives in Jakarta, Daniel lives in Paris, Joe lives in Warsaw, Rowan lives in Helsinki and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki	Santiago
Sebastian has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Daniel lives in Paris, Joe lives in Warsaw, Rowan lives in Helsinki and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki	Santiago
Jake lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Daniel lives in Santiago, Joe lives in Helsinki and Jack lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki	Paris
Jake has a sister and now lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Daniel lives in Santiago, Joe lives in Helsinki and Jack lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki	Paris
Jake has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Daniel lives in Santiago, Joe lives in Helsinki and Jack lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki	Paris
Jake has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Daniel lives in Santiago, Joe lives in Helsinki and Jack lives in Paris.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki	Paris
Joe lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago, Jake lives in Paris and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris	Helsinki
Joe has a sister and now lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago, Jake lives in Paris and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris	Helsinki
Joe has a sister, played basketball and now lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago, Jake lives in Paris and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago, Jake lives in Paris and Rowan lives in Helsinki.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris	Helsinki
John lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago	Paris
John has a sister and now lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago	Paris
John has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago	Paris
Jake lives in China, John lives in Jakarta, Joe lives in Warsaw, Jack lives in Helsinki, Sebastian lives in Paris and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris	Santiago
Jake has a sister and now lives in China, John lives in Jakarta, Joe lives in Warsaw, Jack lives in Helsinki, Sebastian lives in Paris and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris	Santiago
Jake has a sister, played basketball and now lives in China, John lives in Jakarta, Joe lives in Warsaw, Jack lives in Helsinki, Sebastian lives in Paris and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Joe lives in Warsaw, Jack lives in Helsinki, Sebastian lives in Paris and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris	Santiago
Sebastian lives in China, Rowan lives in Jakarta, Joe lives in Warsaw, Daniel lives in Paris, John lives in Santiago and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago	Helsinki
Sebastian has a sister and now lives in China, Rowan lives in Jakarta, Joe lives in Warsaw, Daniel lives in Paris, John lives in Santiago and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago	Helsinki
Sebastian has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Joe lives in Warsaw, Daniel lives in Paris, John lives in Santiago and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago	Helsinki
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Joe lives in Warsaw, Daniel lives in Paris, John lives in Santiago and Jake lives in Helsinki.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago	Helsinki
Jake lives in China, Sebastian lives in Jakarta, Daniel lives in Warsaw, John lives in Paris, Rowan lives in Helsinki and Joe lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki	Santiago
Jake has a sister and now lives in China, Sebastian lives in Jakarta, Daniel lives in Warsaw, John lives in Paris, Rowan lives in Helsinki and Joe lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki	Santiago
Jake has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Daniel lives in Warsaw, John lives in Paris, Rowan lives in Helsinki and Joe lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Daniel lives in Warsaw, John lives in Paris, Rowan lives in Helsinki and Joe lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki	Santiago
Sebastian lives in China, John lives in Warsaw, Daniel lives in Santiago, Rowan lives in Helsinki, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris	Jakarta
Sebastian has a sister and now lives in China, John lives in Warsaw, Daniel lives in Santiago, Rowan lives in Helsinki, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris	Jakarta
Sebastian has a sister, played basketball and now lives in China, John lives in Warsaw, Daniel lives in Santiago, Rowan lives in Helsinki, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris	Jakarta
Sebastian has a sister, played basketball, sang in a choir and now lives in China, John lives in Warsaw, Daniel lives in Santiago, Rowan lives in Helsinki, Jake lives in Paris and Joe lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris	Jakarta
John lives in China, Joe lives in Warsaw, Jake lives in Santiago, Sebastian lives in Helsinki, Rowan lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta	Paris
John has a sister and now lives in China, Joe lives in Warsaw, Jake lives in Santiago, Sebastian lives in Helsinki, Rowan lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta	Paris
John has a sister, played basketball and now lives in China, Joe lives in Warsaw, Jake lives in Santiago, Sebastian lives in Helsinki, Rowan lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Warsaw, Jake lives in Santiago, Sebastian lives in Helsinki, Rowan lives in Jakarta and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta	Paris
Rowan lives in China, Daniel lives in Warsaw, John lives in Santiago, Jake lives in Paris, Sebastian lives in Helsinki and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki	Jakarta
Rowan has a sister and now lives in China, Daniel lives in Warsaw, John lives in Santiago, Jake lives in Paris, Sebastian lives in Helsinki and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki	Jakarta
Rowan has a sister, played basketball and now lives in China, Daniel lives in Warsaw, John lives in Santiago, Jake lives in Paris, Sebastian lives in Helsinki and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki	Jakarta
Rowan has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Warsaw, John lives in Santiago, Jake lives in Paris, Sebastian lives in Helsinki and Jack lives in Jakarta.	The capital of Rowan's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki	Jakarta
Jack lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Paris, Sebastian lives in Jakarta and Daniel lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta	Helsinki
Jack has a sister and now lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Paris, Sebastian lives in Jakarta and Daniel lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta	Helsinki
Jack has a sister, played basketball and now lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Paris, Sebastian lives in Jakarta and Daniel lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Paris, Sebastian lives in Jakarta and Daniel lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta	Helsinki
Daniel lives in China, Jack lives in Warsaw, Jake lives in Santiago, John lives in Jakarta, Sebastian lives in Helsinki and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki	Paris
Daniel has a sister and now lives in China, Jack lives in Warsaw, Jake lives in Santiago, John lives in Jakarta, Sebastian lives in Helsinki and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki	Paris
Daniel has a sister, played basketball and now lives in China, Jack lives in Warsaw, Jake lives in Santiago, John lives in Jakarta, Sebastian lives in Helsinki and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Warsaw, Jake lives in Santiago, John lives in Jakarta, Sebastian lives in Helsinki and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki	Paris
Jack lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris	Helsinki
Jack has a sister and now lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris	Helsinki
Jack has a sister, played basketball and now lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Warsaw, John lives in Santiago, Joe lives in Jakarta, Daniel lives in Paris and Rowan lives in Helsinki.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris	Helsinki
Sebastian lives in China, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago, John lives in Paris and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris	Jakarta
Sebastian has a sister and now lives in China, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago, John lives in Paris and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris	Jakarta
Sebastian has a sister, played basketball and now lives in China, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago, John lives in Paris and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris	Jakarta
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Warsaw, Jake lives in Helsinki, Joe lives in Santiago, John lives in Paris and Daniel lives in Jakarta.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris	Jakarta
John lives in China, Jack lives in Warsaw, Rowan lives in Helsinki, Jake lives in Santiago, Sebastian lives in Jakarta and Joe lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta	Paris
John has a sister and now lives in China, Jack lives in Warsaw, Rowan lives in Helsinki, Jake lives in Santiago, Sebastian lives in Jakarta and Joe lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta	Paris
John has a sister, played basketball and now lives in China, Jack lives in Warsaw, Rowan lives in Helsinki, Jake lives in Santiago, Sebastian lives in Jakarta and Joe lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Warsaw, Rowan lives in Helsinki, Jake lives in Santiago, Sebastian lives in Jakarta and Joe lives in Paris.	The capital of John's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta	Paris
