context	ending	target_occupation	attractor_1	attractor_2	attractor_3	attractor_4
Rowan has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Jake lives in Santiago, John lives in Helsinki and Jack lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Jake lives in Santiago, John lives in Helsinki and Jack lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki	Paris
Jake lives in China, Joe lives in Jakarta, Rowan lives in Santiago, John lives in Helsinki and Daniel lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki	Warsaw
Jake has a sister and now lives in China, Joe lives in Jakarta, Rowan lives in Santiago, John lives in Helsinki and Daniel lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki	Warsaw
Jake has a sister, played basketball and now lives in China, Joe lives in Jakarta, Rowan lives in Santiago, John lives in Helsinki and Daniel lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Jakarta, Rowan lives in Santiago, John lives in Helsinki and Daniel lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Santiago	Helsinki	Warsaw
John lives in China, Rowan lives in Jakarta, Sebastian lives in Santiago, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Helsinki
John has a sister and now lives in China, Rowan lives in Jakarta, Sebastian lives in Santiago, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Helsinki
John has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Sebastian lives in Santiago, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Helsinki
John has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Sebastian lives in Santiago, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Helsinki
Daniel lives in China, Jake lives in Jakarta, John lives in Santiago, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Warsaw
Daniel has a sister and now lives in China, Jake lives in Jakarta, John lives in Santiago, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Warsaw
Daniel has a sister, played basketball and now lives in China, Jake lives in Jakarta, John lives in Santiago, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, John lives in Santiago, Sebastian lives in Paris and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Paris	Warsaw
John lives in China, Daniel lives in Jakarta, Jack lives in Santiago, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki
John has a sister and now lives in China, Daniel lives in Jakarta, Jack lives in Santiago, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki
John has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Jack lives in Santiago, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki
John has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Jack lives in Santiago, Jake lives in Warsaw and Rowan lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Helsinki
Daniel lives in China, Rowan lives in Jakarta, Jake lives in Santiago, John lives in Warsaw and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris
Daniel has a sister and now lives in China, Rowan lives in Jakarta, Jake lives in Santiago, John lives in Warsaw and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris
Daniel has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Jake lives in Santiago, John lives in Warsaw and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Jake lives in Santiago, John lives in Warsaw and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Santiago	Warsaw	Paris
Jack lives in China, Daniel lives in Jakarta, John lives in Helsinki, Joe lives in Santiago and Jake lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris
Jack has a sister and now lives in China, Daniel lives in Jakarta, John lives in Helsinki, Joe lives in Santiago and Jake lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris
Jack has a sister, played basketball and now lives in China, Daniel lives in Jakarta, John lives in Helsinki, Joe lives in Santiago and Jake lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris
Jack has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, John lives in Helsinki, Joe lives in Santiago and Jake lives in Paris.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Paris
Jake lives in China, Joe lives in Jakarta, Sebastian lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw
Jake has a sister and now lives in China, Joe lives in Jakarta, Sebastian lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw
Jake has a sister, played basketball and now lives in China, Joe lives in Jakarta, Sebastian lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Jakarta, Sebastian lives in Helsinki, Rowan lives in Santiago and Jack lives in Warsaw.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Santiago	Warsaw
Jake lives in China, Jack lives in Jakarta, Daniel lives in Helsinki, John lives in Paris and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago
Jake has a sister and now lives in China, Jack lives in Jakarta, Daniel lives in Helsinki, John lives in Paris and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago
Jake has a sister, played basketball and now lives in China, Jack lives in Jakarta, Daniel lives in Helsinki, John lives in Paris and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Jakarta, Daniel lives in Helsinki, John lives in Paris and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Santiago
Joe lives in China, Rowan lives in Jakarta, Sebastian lives in Helsinki, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw
Joe has a sister and now lives in China, Rowan lives in Jakarta, Sebastian lives in Helsinki, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw
Joe has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Sebastian lives in Helsinki, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw
Joe has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Sebastian lives in Helsinki, Daniel lives in Paris and Jack lives in Warsaw.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Paris	Warsaw
Sebastian lives in China, John lives in Jakarta, Joe lives in Helsinki, Rowan lives in Warsaw and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago
Sebastian has a sister and now lives in China, John lives in Jakarta, Joe lives in Helsinki, Rowan lives in Warsaw and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago
Sebastian has a sister, played basketball and now lives in China, John lives in Jakarta, Joe lives in Helsinki, Rowan lives in Warsaw and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago
Sebastian has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Joe lives in Helsinki, Rowan lives in Warsaw and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Santiago
Joe lives in China, Sebastian lives in Jakarta, Daniel lives in Helsinki, Jake lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris
Joe has a sister and now lives in China, Sebastian lives in Jakarta, Daniel lives in Helsinki, Jake lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris
Joe has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Daniel lives in Helsinki, Jake lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris
Joe has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Daniel lives in Helsinki, Jake lives in Warsaw and John lives in Paris.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Helsinki	Warsaw	Paris
John lives in China, Rowan lives in Jakarta, Daniel lives in Paris, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki
John has a sister and now lives in China, Rowan lives in Jakarta, Daniel lives in Paris, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki
John has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Daniel lives in Paris, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki
John has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Daniel lives in Paris, Sebastian lives in Santiago and Jake lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Helsinki
Daniel lives in China, Jake lives in Jakarta, John lives in Paris, Sebastian lives in Santiago and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw
Daniel has a sister and now lives in China, Jake lives in Jakarta, John lives in Paris, Sebastian lives in Santiago and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw
Daniel has a sister, played basketball and now lives in China, Jake lives in Jakarta, John lives in Paris, Sebastian lives in Santiago and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Jakarta, John lives in Paris, Sebastian lives in Santiago and Jack lives in Warsaw.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Santiago	Warsaw
Jake lives in China, Daniel lives in Jakarta, Jack lives in Paris, Joe lives in Helsinki and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago
Jake has a sister and now lives in China, Daniel lives in Jakarta, Jack lives in Paris, Joe lives in Helsinki and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago
Jake has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Jack lives in Paris, Joe lives in Helsinki and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Jack lives in Paris, Joe lives in Helsinki and Rowan lives in Santiago.	The capital of Jake's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Santiago
Jack lives in China, Joe lives in Jakarta, Sebastian lives in Paris, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw
Jack has a sister and now lives in China, Joe lives in Jakarta, Sebastian lives in Paris, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw
Jack has a sister, played basketball and now lives in China, Joe lives in Jakarta, Sebastian lives in Paris, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in China, Joe lives in Jakarta, Sebastian lives in Paris, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Beijing	Jakarta	Paris	Helsinki	Warsaw
Sebastian lives in China, Rowan lives in Jakarta, John lives in Paris, Joe lives in Warsaw and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago
Sebastian has a sister and now lives in China, Rowan lives in Jakarta, John lives in Paris, Joe lives in Warsaw and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago
Sebastian has a sister, played basketball and now lives in China, Rowan lives in Jakarta, John lives in Paris, Joe lives in Warsaw and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, John lives in Paris, Joe lives in Warsaw and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Santiago
Daniel lives in China, John lives in Jakarta, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki
Daniel has a sister and now lives in China, John lives in Jakarta, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki
Daniel has a sister, played basketball and now lives in China, John lives in Jakarta, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Jack lives in Paris, Rowan lives in Warsaw and Sebastian lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Paris	Warsaw	Helsinki
Daniel lives in China, John lives in Jakarta, Rowan lives in Warsaw, Joe lives in Santiago and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki
Daniel has a sister and now lives in China, John lives in Jakarta, Rowan lives in Warsaw, Joe lives in Santiago and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki
Daniel has a sister, played basketball and now lives in China, John lives in Jakarta, Rowan lives in Warsaw, Joe lives in Santiago and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in China, John lives in Jakarta, Rowan lives in Warsaw, Joe lives in Santiago and Jake lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Helsinki
John lives in China, Rowan lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris
John has a sister and now lives in China, Rowan lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris
John has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris
John has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Sebastian lives in Warsaw, Daniel lives in Santiago and Jack lives in Paris.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Santiago	Paris
Joe lives in China, Rowan lives in Jakarta, Jack lives in Warsaw, Jake lives in Helsinki and Daniel lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago
Joe has a sister and now lives in China, Rowan lives in Jakarta, Jack lives in Warsaw, Jake lives in Helsinki and Daniel lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago
Joe has a sister, played basketball and now lives in China, Rowan lives in Jakarta, Jack lives in Warsaw, Jake lives in Helsinki and Daniel lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago
Joe has a sister, played basketball, sang in a choir and now lives in China, Rowan lives in Jakarta, Jack lives in Warsaw, Jake lives in Helsinki and Daniel lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Santiago
Rowan lives in China, Daniel lives in Jakarta, Joe lives in Warsaw, John lives in Helsinki and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris
Rowan has a sister and now lives in China, Daniel lives in Jakarta, Joe lives in Warsaw, John lives in Helsinki and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris
Rowan has a sister, played basketball and now lives in China, Daniel lives in Jakarta, Joe lives in Warsaw, John lives in Helsinki and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Jakarta, Joe lives in Warsaw, John lives in Helsinki and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Beijing	Jakarta	Warsaw	Helsinki	Paris
Joe lives in China, Jack lives in Jakarta, John lives in Warsaw, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago
Joe has a sister and now lives in China, Jack lives in Jakarta, John lives in Warsaw, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago
Joe has a sister, played basketball and now lives in China, Jack lives in Jakarta, John lives in Warsaw, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago
Joe has a sister, played basketball, sang in a choir and now lives in China, Jack lives in Jakarta, John lives in Warsaw, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Joe's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Santiago
John lives in China, Sebastian lives in Jakarta, Jack lives in Warsaw, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki
John has a sister and now lives in China, Sebastian lives in Jakarta, Jack lives in Warsaw, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki
John has a sister, played basketball and now lives in China, Sebastian lives in Jakarta, Jack lives in Warsaw, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki
John has a sister, played basketball, sang in a choir and now lives in China, Sebastian lives in Jakarta, Jack lives in Warsaw, Jake lives in Paris and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Beijing	Jakarta	Warsaw	Paris	Helsinki
Daniel lives in China, John lives in Warsaw, Jack lives in Santiago, Jake lives in Helsinki and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris
Daniel has a sister and now lives in China, John lives in Warsaw, Jack lives in Santiago, Jake lives in Helsinki and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris
Daniel has a sister, played basketball and now lives in China, John lives in Warsaw, Jack lives in Santiago, Jake lives in Helsinki and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in China, John lives in Warsaw, Jack lives in Santiago, Jake lives in Helsinki and Sebastian lives in Paris.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Paris
Joe lives in China, Daniel lives in Warsaw, Sebastian lives in Santiago, Jack lives in Helsinki and John lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta
Joe has a sister and now lives in China, Daniel lives in Warsaw, Sebastian lives in Santiago, Jack lives in Helsinki and John lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta
Joe has a sister, played basketball and now lives in China, Daniel lives in Warsaw, Sebastian lives in Santiago, Jack lives in Helsinki and John lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Warsaw, Sebastian lives in Santiago, Jack lives in Helsinki and John lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Santiago	Helsinki	Jakarta
Jake lives in China, Daniel lives in Warsaw, Jack lives in Santiago, Sebastian lives in Paris and Rowan lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki
Jake has a sister and now lives in China, Daniel lives in Warsaw, Jack lives in Santiago, Sebastian lives in Paris and Rowan lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki
Jake has a sister, played basketball and now lives in China, Daniel lives in Warsaw, Jack lives in Santiago, Sebastian lives in Paris and Rowan lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki
Jake has a sister, played basketball, sang in a choir and now lives in China, Daniel lives in Warsaw, Jack lives in Santiago, Sebastian lives in Paris and Rowan lives in Helsinki.	The capital of Jake's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Helsinki
Jack lives in China, John lives in Warsaw, Joe lives in Santiago, Sebastian lives in Paris and Jake lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta
Jack has a sister and now lives in China, John lives in Warsaw, Joe lives in Santiago, Sebastian lives in Paris and Jake lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta
Jack has a sister, played basketball and now lives in China, John lives in Warsaw, Joe lives in Santiago, Sebastian lives in Paris and Jake lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta
Jack has a sister, played basketball, sang in a choir and now lives in China, John lives in Warsaw, Joe lives in Santiago, Sebastian lives in Paris and Jake lives in Jakarta.	The capital of Jack's country is [MASK].	Beijing	Warsaw	Santiago	Paris	Jakarta
Daniel lives in China, Jake lives in Warsaw, Jack lives in Santiago, Joe lives in Jakarta and Rowan lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki
Daniel has a sister and now lives in China, Jake lives in Warsaw, Jack lives in Santiago, Joe lives in Jakarta and Rowan lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki
Daniel has a sister, played basketball and now lives in China, Jake lives in Warsaw, Jack lives in Santiago, Joe lives in Jakarta and Rowan lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Warsaw, Jack lives in Santiago, Joe lives in Jakarta and Rowan lives in Helsinki.	The capital of Daniel's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Helsinki
Sebastian lives in China, Jake lives in Warsaw, Rowan lives in Santiago, John lives in Jakarta and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris
Sebastian has a sister and now lives in China, Jake lives in Warsaw, Rowan lives in Santiago, John lives in Jakarta and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris
Sebastian has a sister, played basketball and now lives in China, Jake lives in Warsaw, Rowan lives in Santiago, John lives in Jakarta and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Warsaw, Rowan lives in Santiago, John lives in Jakarta and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Santiago	Jakarta	Paris
Sebastian lives in China, Jake lives in Warsaw, John lives in Helsinki, Jack lives in Santiago and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris
Sebastian has a sister and now lives in China, Jake lives in Warsaw, John lives in Helsinki, Jack lives in Santiago and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris
Sebastian has a sister, played basketball and now lives in China, Jake lives in Warsaw, John lives in Helsinki, Jack lives in Santiago and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris
Sebastian has a sister, played basketball, sang in a choir and now lives in China, Jake lives in Warsaw, John lives in Helsinki, Jack lives in Santiago and Joe lives in Paris.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Paris
Joe lives in China, John lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Santiago and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta
Joe has a sister and now lives in China, John lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Santiago and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta
Joe has a sister, played basketball and now lives in China, John lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Santiago and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in China, John lives in Warsaw, Rowan lives in Helsinki, Sebastian lives in Santiago and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Beijing	Warsaw	Helsinki	Santiago	Jakarta
Sebastian lives in China, Rowan lives in Warsaw, Joe lives in Helsinki, John lives in Paris and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Paris	Santiago
Sebastian has a sister and now lives in China, Rowan lives in Warsaw, Joe lives in Helsinki, John lives in Paris and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Paris	Santiago
Sebastian has a sister, played basketball and now lives in China, Rowan lives in Warsaw, Joe lives in Helsinki, John lives in Paris and Jack lives in Santiago.	The capital of Sebastian's country is [MASK].	Beijing	Warsaw	Helsinki	Paris	Santiago
