context	ending	target_occupation	attractor_1	attractor_2
Jack has a sister, played basketball, sang in a choir and now lives in Finland, Rowan lives in Beijing and Sebastian lives in Jakarta.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Jakarta
Jack lives in Finland, Joe lives in Beijing and Daniel lives in Warsaw.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Warsaw
Jack has a sister and now lives in Finland, Joe lives in Beijing and Daniel lives in Warsaw.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Warsaw
Jack has a sister, played basketball and now lives in Finland, Joe lives in Beijing and Daniel lives in Warsaw.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in Finland, Joe lives in Beijing and Daniel lives in Warsaw.	The capital of Jack's country is [MASK].	Helsinki	Beijing	Warsaw
Jake lives in Finland, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Jake's country is [MASK].	Helsinki	Paris	Santiago
Jake has a sister and now lives in Finland, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Jake's country is [MASK].	Helsinki	Paris	Santiago
Jake has a sister, played basketball and now lives in Finland, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Jake's country is [MASK].	Helsinki	Paris	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in Finland, Daniel lives in Paris and Sebastian lives in Santiago.	The capital of Jake's country is [MASK].	Helsinki	Paris	Santiago
Joe lives in Finland, Jack lives in Paris and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Helsinki	Paris	Beijing
Joe has a sister and now lives in Finland, Jack lives in Paris and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Helsinki	Paris	Beijing
Joe has a sister, played basketball and now lives in Finland, Jack lives in Paris and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Helsinki	Paris	Beijing
Joe has a sister, played basketball, sang in a choir and now lives in Finland, Jack lives in Paris and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Helsinki	Paris	Beijing
Joe lives in Finland, John lives in Paris and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Helsinki	Paris	Jakarta
Joe has a sister and now lives in Finland, John lives in Paris and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Helsinki	Paris	Jakarta
Joe has a sister, played basketball and now lives in Finland, John lives in Paris and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Helsinki	Paris	Jakarta
Joe has a sister, played basketball, sang in a choir and now lives in Finland, John lives in Paris and Daniel lives in Jakarta.	The capital of Joe's country is [MASK].	Helsinki	Paris	Jakarta
Daniel lives in Finland, John lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Paris	Warsaw
Daniel has a sister and now lives in Finland, John lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Paris	Warsaw
Daniel has a sister, played basketball and now lives in Finland, John lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Paris	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in Finland, John lives in Paris and Rowan lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Paris	Warsaw
Joe lives in Finland, Sebastian lives in Jakarta and Jack lives in Santiago.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Santiago
Joe has a sister and now lives in Finland, Sebastian lives in Jakarta and Jack lives in Santiago.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Santiago
Joe has a sister, played basketball and now lives in Finland, Sebastian lives in Jakarta and Jack lives in Santiago.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Santiago
Joe has a sister, played basketball, sang in a choir and now lives in Finland, Sebastian lives in Jakarta and Jack lives in Santiago.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Santiago
Sebastian lives in Finland, Rowan lives in Jakarta and John lives in Beijing.	The capital of Sebastian's country is [MASK].	Helsinki	Jakarta	Beijing
Sebastian has a sister and now lives in Finland, Rowan lives in Jakarta and John lives in Beijing.	The capital of Sebastian's country is [MASK].	Helsinki	Jakarta	Beijing
Sebastian has a sister, played basketball and now lives in Finland, Rowan lives in Jakarta and John lives in Beijing.	The capital of Sebastian's country is [MASK].	Helsinki	Jakarta	Beijing
Sebastian has a sister, played basketball, sang in a choir and now lives in Finland, Rowan lives in Jakarta and John lives in Beijing.	The capital of Sebastian's country is [MASK].	Helsinki	Jakarta	Beijing
Joe lives in Finland, Sebastian lives in Jakarta and Daniel lives in Paris.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Paris
Joe has a sister and now lives in Finland, Sebastian lives in Jakarta and Daniel lives in Paris.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Paris
Joe has a sister, played basketball and now lives in Finland, Sebastian lives in Jakarta and Daniel lives in Paris.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Paris
Joe has a sister, played basketball, sang in a choir and now lives in Finland, Sebastian lives in Jakarta and Daniel lives in Paris.	The capital of Joe's country is [MASK].	Helsinki	Jakarta	Paris
Daniel lives in Finland, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Jakarta	Warsaw
Daniel has a sister and now lives in Finland, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Jakarta	Warsaw
Daniel has a sister, played basketball and now lives in Finland, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Jakarta	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in Finland, Rowan lives in Jakarta and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Helsinki	Jakarta	Warsaw
Rowan lives in Finland, Joe lives in Warsaw and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Helsinki	Warsaw	Santiago
Rowan has a sister and now lives in Finland, Joe lives in Warsaw and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Helsinki	Warsaw	Santiago
Rowan has a sister, played basketball and now lives in Finland, Joe lives in Warsaw and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Helsinki	Warsaw	Santiago
Rowan has a sister, played basketball, sang in a choir and now lives in Finland, Joe lives in Warsaw and Jake lives in Santiago.	The capital of Rowan's country is [MASK].	Helsinki	Warsaw	Santiago
Jack lives in Finland, Sebastian lives in Warsaw and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Helsinki	Warsaw	Beijing
Jack has a sister and now lives in Finland, Sebastian lives in Warsaw and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Helsinki	Warsaw	Beijing
Jack has a sister, played basketball and now lives in Finland, Sebastian lives in Warsaw and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Helsinki	Warsaw	Beijing
Jack has a sister, played basketball, sang in a choir and now lives in Finland, Sebastian lives in Warsaw and Daniel lives in Beijing.	The capital of Jack's country is [MASK].	Helsinki	Warsaw	Beijing
Daniel lives in Finland, Joe lives in Warsaw and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Helsinki	Warsaw	Paris
Daniel has a sister and now lives in Finland, Joe lives in Warsaw and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Helsinki	Warsaw	Paris
Daniel has a sister, played basketball and now lives in Finland, Joe lives in Warsaw and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Helsinki	Warsaw	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in Finland, Joe lives in Warsaw and Rowan lives in Paris.	The capital of Daniel's country is [MASK].	Helsinki	Warsaw	Paris
Jake lives in Finland, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Helsinki	Warsaw	Jakarta
Jake has a sister and now lives in Finland, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Helsinki	Warsaw	Jakarta
Jake has a sister, played basketball and now lives in Finland, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Helsinki	Warsaw	Jakarta
Jake has a sister, played basketball, sang in a choir and now lives in Finland, Joe lives in Warsaw and Daniel lives in Jakarta.	The capital of Jake's country is [MASK].	Helsinki	Warsaw	Jakarta
Sebastian lives in France, Daniel lives in Santiago and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Paris	Santiago	Beijing
Sebastian has a sister and now lives in France, Daniel lives in Santiago and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Paris	Santiago	Beijing
Sebastian has a sister, played basketball and now lives in France, Daniel lives in Santiago and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Paris	Santiago	Beijing
Sebastian has a sister, played basketball, sang in a choir and now lives in France, Daniel lives in Santiago and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Paris	Santiago	Beijing
Rowan lives in France, Joe lives in Santiago and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Paris	Santiago	Helsinki
Rowan has a sister and now lives in France, Joe lives in Santiago and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Paris	Santiago	Helsinki
Rowan has a sister, played basketball and now lives in France, Joe lives in Santiago and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Paris	Santiago	Helsinki
Rowan has a sister, played basketball, sang in a choir and now lives in France, Joe lives in Santiago and John lives in Helsinki.	The capital of Rowan's country is [MASK].	Paris	Santiago	Helsinki
Daniel lives in France, Rowan lives in Santiago and Sebastian lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Santiago	Jakarta
Daniel has a sister and now lives in France, Rowan lives in Santiago and Sebastian lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Santiago	Jakarta
Daniel has a sister, played basketball and now lives in France, Rowan lives in Santiago and Sebastian lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Santiago	Jakarta
Daniel has a sister, played basketball, sang in a choir and now lives in France, Rowan lives in Santiago and Sebastian lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Santiago	Jakarta
Daniel lives in France, Jack lives in Santiago and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Paris	Santiago	Warsaw
Daniel has a sister and now lives in France, Jack lives in Santiago and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Paris	Santiago	Warsaw
Daniel has a sister, played basketball and now lives in France, Jack lives in Santiago and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Paris	Santiago	Warsaw
Daniel has a sister, played basketball, sang in a choir and now lives in France, Jack lives in Santiago and Joe lives in Warsaw.	The capital of Daniel's country is [MASK].	Paris	Santiago	Warsaw
Jake lives in France, Sebastian lives in Beijing and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Paris	Beijing	Santiago
Jake has a sister and now lives in France, Sebastian lives in Beijing and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Paris	Beijing	Santiago
Jake has a sister, played basketball and now lives in France, Sebastian lives in Beijing and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Paris	Beijing	Santiago
Jake has a sister, played basketball, sang in a choir and now lives in France, Sebastian lives in Beijing and Daniel lives in Santiago.	The capital of Jake's country is [MASK].	Paris	Beijing	Santiago
Joe lives in France, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Paris	Beijing	Helsinki
Joe has a sister and now lives in France, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Paris	Beijing	Helsinki
Joe has a sister, played basketball and now lives in France, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Paris	Beijing	Helsinki
Joe has a sister, played basketball, sang in a choir and now lives in France, Jack lives in Beijing and Sebastian lives in Helsinki.	The capital of Joe's country is [MASK].	Paris	Beijing	Helsinki
Daniel lives in France, Sebastian lives in Beijing and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Beijing	Jakarta
Daniel has a sister and now lives in France, Sebastian lives in Beijing and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Beijing	Jakarta
Daniel has a sister, played basketball and now lives in France, Sebastian lives in Beijing and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Beijing	Jakarta
Daniel has a sister, played basketball, sang in a choir and now lives in France, Sebastian lives in Beijing and Rowan lives in Jakarta.	The capital of Daniel's country is [MASK].	Paris	Beijing	Jakarta
Rowan lives in France, Sebastian lives in Beijing and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Beijing	Warsaw
Rowan has a sister and now lives in France, Sebastian lives in Beijing and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Beijing	Warsaw
Rowan has a sister, played basketball and now lives in France, Sebastian lives in Beijing and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Beijing	Warsaw
Rowan has a sister, played basketball, sang in a choir and now lives in France, Sebastian lives in Beijing and Jack lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Beijing	Warsaw
Rowan lives in France, Joe lives in Helsinki and Sebastian lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Helsinki	Santiago
Rowan has a sister and now lives in France, Joe lives in Helsinki and Sebastian lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Helsinki	Santiago
Rowan has a sister, played basketball and now lives in France, Joe lives in Helsinki and Sebastian lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Helsinki	Santiago
Rowan has a sister, played basketball, sang in a choir and now lives in France, Joe lives in Helsinki and Sebastian lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Helsinki	Santiago
John lives in France, Joe lives in Helsinki and Daniel lives in Beijing.	The capital of John's country is [MASK].	Paris	Helsinki	Beijing
John has a sister and now lives in France, Joe lives in Helsinki and Daniel lives in Beijing.	The capital of John's country is [MASK].	Paris	Helsinki	Beijing
John has a sister, played basketball and now lives in France, Joe lives in Helsinki and Daniel lives in Beijing.	The capital of John's country is [MASK].	Paris	Helsinki	Beijing
John has a sister, played basketball, sang in a choir and now lives in France, Joe lives in Helsinki and Daniel lives in Beijing.	The capital of John's country is [MASK].	Paris	Helsinki	Beijing
Jack lives in France, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Paris	Helsinki	Jakarta
Jack has a sister and now lives in France, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Paris	Helsinki	Jakarta
Jack has a sister, played basketball and now lives in France, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Paris	Helsinki	Jakarta
Jack has a sister, played basketball, sang in a choir and now lives in France, Rowan lives in Helsinki and Daniel lives in Jakarta.	The capital of Jack's country is [MASK].	Paris	Helsinki	Jakarta
Jack lives in France, Joe lives in Helsinki and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Paris	Helsinki	Warsaw
Jack has a sister and now lives in France, Joe lives in Helsinki and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Paris	Helsinki	Warsaw
Jack has a sister, played basketball and now lives in France, Joe lives in Helsinki and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Paris	Helsinki	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in France, Joe lives in Helsinki and Jake lives in Warsaw.	The capital of Jack's country is [MASK].	Paris	Helsinki	Warsaw
Sebastian lives in France, John lives in Jakarta and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Paris	Jakarta	Santiago
Sebastian has a sister and now lives in France, John lives in Jakarta and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Paris	Jakarta	Santiago
Sebastian has a sister, played basketball and now lives in France, John lives in Jakarta and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Paris	Jakarta	Santiago
Sebastian has a sister, played basketball, sang in a choir and now lives in France, John lives in Jakarta and Jake lives in Santiago.	The capital of Sebastian's country is [MASK].	Paris	Jakarta	Santiago
Joe lives in France, Sebastian lives in Jakarta and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Paris	Jakarta	Beijing
Joe has a sister and now lives in France, Sebastian lives in Jakarta and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Paris	Jakarta	Beijing
Joe has a sister, played basketball and now lives in France, Sebastian lives in Jakarta and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Paris	Jakarta	Beijing
Joe has a sister, played basketball, sang in a choir and now lives in France, Sebastian lives in Jakarta and Daniel lives in Beijing.	The capital of Joe's country is [MASK].	Paris	Jakarta	Beijing
John lives in France, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Paris	Jakarta	Helsinki
John has a sister and now lives in France, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Paris	Jakarta	Helsinki
John has a sister, played basketball and now lives in France, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Paris	Jakarta	Helsinki
John has a sister, played basketball, sang in a choir and now lives in France, Rowan lives in Jakarta and Daniel lives in Helsinki.	The capital of John's country is [MASK].	Paris	Jakarta	Helsinki
Rowan lives in France, John lives in Jakarta and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Jakarta	Warsaw
Rowan has a sister and now lives in France, John lives in Jakarta and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Jakarta	Warsaw
Rowan has a sister, played basketball and now lives in France, John lives in Jakarta and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Jakarta	Warsaw
Rowan has a sister, played basketball, sang in a choir and now lives in France, John lives in Jakarta and Daniel lives in Warsaw.	The capital of Rowan's country is [MASK].	Paris	Jakarta	Warsaw
Rowan lives in France, Jack lives in Warsaw and Joe lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Santiago
Rowan has a sister and now lives in France, Jack lives in Warsaw and Joe lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Santiago
Rowan has a sister, played basketball and now lives in France, Jack lives in Warsaw and Joe lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Santiago
Rowan has a sister, played basketball, sang in a choir and now lives in France, Jack lives in Warsaw and Joe lives in Santiago.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Santiago
John lives in France, Daniel lives in Warsaw and Joe lives in Beijing.	The capital of John's country is [MASK].	Paris	Warsaw	Beijing
John has a sister and now lives in France, Daniel lives in Warsaw and Joe lives in Beijing.	The capital of John's country is [MASK].	Paris	Warsaw	Beijing
John has a sister, played basketball and now lives in France, Daniel lives in Warsaw and Joe lives in Beijing.	The capital of John's country is [MASK].	Paris	Warsaw	Beijing
John has a sister, played basketball, sang in a choir and now lives in France, Daniel lives in Warsaw and Joe lives in Beijing.	The capital of John's country is [MASK].	Paris	Warsaw	Beijing
Daniel lives in France, Sebastian lives in Warsaw and Joe lives in Helsinki.	The capital of Daniel's country is [MASK].	Paris	Warsaw	Helsinki
Daniel has a sister and now lives in France, Sebastian lives in Warsaw and Joe lives in Helsinki.	The capital of Daniel's country is [MASK].	Paris	Warsaw	Helsinki
Daniel has a sister, played basketball and now lives in France, Sebastian lives in Warsaw and Joe lives in Helsinki.	The capital of Daniel's country is [MASK].	Paris	Warsaw	Helsinki
Daniel has a sister, played basketball, sang in a choir and now lives in France, Sebastian lives in Warsaw and Joe lives in Helsinki.	The capital of Daniel's country is [MASK].	Paris	Warsaw	Helsinki
Rowan lives in France, Daniel lives in Warsaw and Sebastian lives in Jakarta.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Jakarta
Rowan has a sister and now lives in France, Daniel lives in Warsaw and Sebastian lives in Jakarta.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Jakarta
Rowan has a sister, played basketball and now lives in France, Daniel lives in Warsaw and Sebastian lives in Jakarta.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Jakarta
Rowan has a sister, played basketball, sang in a choir and now lives in France, Daniel lives in Warsaw and Sebastian lives in Jakarta.	The capital of Rowan's country is [MASK].	Paris	Warsaw	Jakarta
Jake lives in Indonesia, Daniel lives in Santiago and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Beijing
Jake has a sister and now lives in Indonesia, Daniel lives in Santiago and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Beijing
Jake has a sister, played basketball and now lives in Indonesia, Daniel lives in Santiago and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Beijing
Jake has a sister, played basketball, sang in a choir and now lives in Indonesia, Daniel lives in Santiago and Sebastian lives in Beijing.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Beijing
Rowan lives in Indonesia, Joe lives in Santiago and Daniel lives in Helsinki.	The capital of Rowan's country is [MASK].	Jakarta	Santiago	Helsinki
Rowan has a sister and now lives in Indonesia, Joe lives in Santiago and Daniel lives in Helsinki.	The capital of Rowan's country is [MASK].	Jakarta	Santiago	Helsinki
Rowan has a sister, played basketball and now lives in Indonesia, Joe lives in Santiago and Daniel lives in Helsinki.	The capital of Rowan's country is [MASK].	Jakarta	Santiago	Helsinki
Rowan has a sister, played basketball, sang in a choir and now lives in Indonesia, Joe lives in Santiago and Daniel lives in Helsinki.	The capital of Rowan's country is [MASK].	Jakarta	Santiago	Helsinki
Daniel lives in Indonesia, Jack lives in Santiago and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Jakarta	Santiago	Paris
Daniel has a sister and now lives in Indonesia, Jack lives in Santiago and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Jakarta	Santiago	Paris
Daniel has a sister, played basketball and now lives in Indonesia, Jack lives in Santiago and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Jakarta	Santiago	Paris
Daniel has a sister, played basketball, sang in a choir and now lives in Indonesia, Jack lives in Santiago and Joe lives in Paris.	The capital of Daniel's country is [MASK].	Jakarta	Santiago	Paris
Jake lives in Indonesia, Rowan lives in Santiago and Sebastian lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Warsaw
Jake has a sister and now lives in Indonesia, Rowan lives in Santiago and Sebastian lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Warsaw
Jake has a sister, played basketball and now lives in Indonesia, Rowan lives in Santiago and Sebastian lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Warsaw
Jake has a sister, played basketball, sang in a choir and now lives in Indonesia, Rowan lives in Santiago and Sebastian lives in Warsaw.	The capital of Jake's country is [MASK].	Jakarta	Santiago	Warsaw
John lives in Indonesia, Jack lives in Beijing and Rowan lives in Santiago.	The capital of John's country is [MASK].	Jakarta	Beijing	Santiago
John has a sister and now lives in Indonesia, Jack lives in Beijing and Rowan lives in Santiago.	The capital of John's country is [MASK].	Jakarta	Beijing	Santiago
John has a sister, played basketball and now lives in Indonesia, Jack lives in Beijing and Rowan lives in Santiago.	The capital of John's country is [MASK].	Jakarta	Beijing	Santiago
John has a sister, played basketball, sang in a choir and now lives in Indonesia, Jack lives in Beijing and Rowan lives in Santiago.	The capital of John's country is [MASK].	Jakarta	Beijing	Santiago
Jack lives in Indonesia, John lives in Beijing and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Jakarta	Beijing	Helsinki
Jack has a sister and now lives in Indonesia, John lives in Beijing and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Jakarta	Beijing	Helsinki
Jack has a sister, played basketball and now lives in Indonesia, John lives in Beijing and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Jakarta	Beijing	Helsinki
Jack has a sister, played basketball, sang in a choir and now lives in Indonesia, John lives in Beijing and Jake lives in Helsinki.	The capital of Jack's country is [MASK].	Jakarta	Beijing	Helsinki
Rowan lives in Indonesia, Daniel lives in Beijing and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Jakarta	Beijing	Paris
Rowan has a sister and now lives in Indonesia, Daniel lives in Beijing and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Jakarta	Beijing	Paris
Rowan has a sister, played basketball and now lives in Indonesia, Daniel lives in Beijing and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Jakarta	Beijing	Paris
Rowan has a sister, played basketball, sang in a choir and now lives in Indonesia, Daniel lives in Beijing and Jake lives in Paris.	The capital of Rowan's country is [MASK].	Jakarta	Beijing	Paris
Sebastian lives in Indonesia, Rowan lives in Beijing and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Jakarta	Beijing	Warsaw
Sebastian has a sister and now lives in Indonesia, Rowan lives in Beijing and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Jakarta	Beijing	Warsaw
Sebastian has a sister, played basketball and now lives in Indonesia, Rowan lives in Beijing and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Jakarta	Beijing	Warsaw
Sebastian has a sister, played basketball, sang in a choir and now lives in Indonesia, Rowan lives in Beijing and Jake lives in Warsaw.	The capital of Sebastian's country is [MASK].	Jakarta	Beijing	Warsaw
Jack lives in Indonesia, Joe lives in Helsinki and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Santiago
Jack has a sister and now lives in Indonesia, Joe lives in Helsinki and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Santiago
Jack has a sister, played basketball and now lives in Indonesia, Joe lives in Helsinki and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Santiago
Jack has a sister, played basketball, sang in a choir and now lives in Indonesia, Joe lives in Helsinki and Daniel lives in Santiago.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Santiago
Sebastian lives in Indonesia, John lives in Helsinki and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Jakarta	Helsinki	Beijing
Sebastian has a sister and now lives in Indonesia, John lives in Helsinki and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Jakarta	Helsinki	Beijing
Sebastian has a sister, played basketball and now lives in Indonesia, John lives in Helsinki and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Jakarta	Helsinki	Beijing
Sebastian has a sister, played basketball, sang in a choir and now lives in Indonesia, John lives in Helsinki and Rowan lives in Beijing.	The capital of Sebastian's country is [MASK].	Jakarta	Helsinki	Beijing
Joe lives in Indonesia, Daniel lives in Helsinki and Jack lives in Paris.	The capital of Joe's country is [MASK].	Jakarta	Helsinki	Paris
Joe has a sister and now lives in Indonesia, Daniel lives in Helsinki and Jack lives in Paris.	The capital of Joe's country is [MASK].	Jakarta	Helsinki	Paris
Joe has a sister, played basketball and now lives in Indonesia, Daniel lives in Helsinki and Jack lives in Paris.	The capital of Joe's country is [MASK].	Jakarta	Helsinki	Paris
Joe has a sister, played basketball, sang in a choir and now lives in Indonesia, Daniel lives in Helsinki and Jack lives in Paris.	The capital of Joe's country is [MASK].	Jakarta	Helsinki	Paris
Jack lives in Indonesia, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Warsaw
Jack has a sister and now lives in Indonesia, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Warsaw
Jack has a sister, played basketball and now lives in Indonesia, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Warsaw
Jack has a sister, played basketball, sang in a choir and now lives in Indonesia, Daniel lives in Helsinki and Rowan lives in Warsaw.	The capital of Jack's country is [MASK].	Jakarta	Helsinki	Warsaw
Joe lives in Indonesia, Jake lives in Paris and Jack lives in Santiago.	The capital of Joe's country is [MASK].	Jakarta	Paris	Santiago
Joe has a sister and now lives in Indonesia, Jake lives in Paris and Jack lives in Santiago.	The capital of Joe's country is [MASK].	Jakarta	Paris	Santiago
